"State_Name","PC_No","AC_No","PC_Name","PC_Type","AC_Name","AC_Type"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",3,32,"Karimnagar","GEN","Husnabad","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,11,"Nizamabad","GEN","Armur","GEN"
"Andhara_Pradesh",4,12,"Nizamabad","GEN","Bodhan","GEN"
"Andhara_Pradesh",4,12,"Nizamabad","GEN","Bodhan","GEN"
"Andhara_Pradesh",4,12,"Nizamabad","GEN","Bodhan","GEN"
"Andhara_Pradesh",4,12,"Nizamabad","GEN","Bodhan","GEN"
"Andhara_Pradesh",4,12,"Nizamabad","GEN","Bodhan","GEN"
